question,answer,source
육아 휴가 기간과 급여 지원 수준은 어떻게 되나요?,"육아 휴가는 최대 1년까지 가능하며, 첫 3개월 동안은 급여의 50%를 지원합니다.",employee_benefits_and_welfare_guide
본인 결혼 시 부여되는 경조 휴가 일수와 지원금은 각각 얼마인가요?,"본인 결혼 시 휴가는 5일이 부여되며, 경조사 지원금으로 30만 원이 지급됩니다.",employee_benefits_and_welfare_guide
외부 교육 프로그램 수강 시 회사가 지원하는 금액의 한도는 얼마인가요?,"등록 비용의 50%를 지원하며, 연간 최대 한도는 200,000원입니다.",employee_benefits_and_welfare_guide
문화의 날 제도는 어떻게 운영되나요?,"매월 마지막 금요일 오후 3시 이후에 자유 시간이 부여되며, 영화나 공연 등을 위해 월 최대 50,000원의 문화 활동 지원비가 제공됩니다.",employee_benefits_and_welfare_guide
매달 지원되는 통신비와 식사비의 최대 금액은 각각 얼마인가요?,"통신비는 매월 50,000원, 식사비는 월 최대 150,000원까지 지원됩니다.",employee_benefits_and_welfare_guide
사내 동호회 활동을 할 경우 매달 얼마까지 지원받을 수 있나요?,"사전에 등록된 동호회에 한해 월 최대 100,000원의 활동 비용을 지원받을 수 있습니다.",employee_benefits_and_welfare_guide
복리후생 제도에 대해 문의하고 싶을 때 누구에게 연락해야 하나요?,"인사팀장 김지현(이메일: kimjh@company.com, 전화번호: 02-1234-5678)에게 문의하면 됩니다.",employee_benefits_and_welfare_guide
직원 핸드북 및 인사 정책에 따르면 본 규정의 적용 범위는 어떻게 되나요?,"본 규정은 정규직, 계약직, 인턴 등 모든 직원에게 적용됩니다. 다만, 파견직의 경우 별도 계약서에 따릅니다.",employee_handbook_and_hr_policy
"신규 채용 직원의 수습 기간은 몇 개월이며, 정식 채용 여부는 어떻게 결정되나요?","신규 채용 직원은 3개월의 수습 기간을 거치며, 수습 기간 중 근무 태도 및 성과 평가 결과에 따라 정식 채용 여부를 결정합니다.",employee_handbook_and_hr_policy
직원 핸드북 및 인사 정책에서 규정하는 기본 근무 시간과 점심 시간은 언제인가요?,"기본 근무 시간은 월요일부터 금요일까지 오전 9시에서 오후 6시이며, 점심 시간은 오후 12시부터 오후 1시까지입니다.",employee_handbook_and_hr_policy
지각이 몇 번 누적되어야 결근 1회로 처리되나요?,지각 3회 시 1회 결근으로 처리됩니다.,employee_handbook_and_hr_policy
근속 연수가 5년인 직원의 연차 유급 휴가 일수는 며칠인가요?,근속 연수 4~6년 구간에 해당하므로 연차 휴가 일수는 17일입니다.,employee_handbook_and_hr_policy
출산 휴가와 육아 휴가의 지원 조건은 어떻게 되나요?,"출산 휴가는 20일간 유급으로 지급됩니다. 육아 휴가는 최대 1년까지 무급으로 가능하나, 첫 3개월은 월급의 50%를 지원합니다.",employee_handbook_and_hr_policy
본인 결혼과 부모 사망 시 각각 며칠의 경조 휴가를 받을 수 있나요?,"본인 결혼 시에는 5일, 부모 사망 시에는 5일의 경조 휴가를 받을 수 있습니다.",employee_handbook_and_hr_policy
급여 지급일이 공휴일인 경우 급여는 언제 지급되나요?,"급여 지급일인 25일이 공휴일일 경우, 그 전 영업일에 지급됩니다.",employee_handbook_and_hr_policy
직원 핸드북 및 인사 정책에서 제공하는 통신비와 동호회 지원금 한도는 얼마인가요?,"통신비는 매월 50,000원을 지원하며, 사내 동호회 활동 비용은 50%를 지원하되 월 최대 100,000원까지 지원합니다.",employee_handbook_and_hr_policy
자발적 퇴사를 원하는 경우 언제까지 사직서를 제출해야 하나요?,최소 1개월 전에 사직서를 제출해야 합니다.,employee_handbook_and_hr_policy
경비 관리 가이드에 따르면 팀장의 경비 승인 권한은 얼마까지인가요?,팀장은 50만원 이하의 경비에 대해 승인 권한을 가집니다.,expense_management_guide
자가용을 이용하여 출장을 갈 경우 킬로미터 당 지급되는 금액은 얼마인가요?,킬로미터 당 300원이 지급됩니다.,expense_management_guide
경비 관리 가이드에서 규정하는 1인당 연간 도서 구입비 한도는 얼마인가요?,"1인당 연간 100,000원입니다.",expense_management_guide
법인카드를 사용한 후에는 며칠 이내에 정산을 완료해야 하나요?,사용 후 3영업일 내에 정산해야 합니다.,expense_management_guide
본인 결혼 시 지원되는 경조사비는 얼마인가요?,30만원이 지원됩니다.,expense_management_guide
국내 출장 시 1일 식비 기준은 각각 어떻게 되나요?,"아침 10,000원, 점심 15,000원, 저녁 20,000원입니다.",expense_management_guide
200만원을 초과하는 경비를 지출하려면 누구의 승인이 필요한가요?,재무팀의 승인이 필요합니다.,expense_management_guide
유럽 지역으로 해외 출장을 갈 경우 숙박비 상한액은 얼마인가요?,1박당 150 EUR입니다.,expense_management_guide
경비 사용 후 일반적인 정산 기한은 어떻게 되나요?,경비 사용 후 5영업일 내에 정산을 완료해야 합니다.,expense_management_guide
사무용 소모품을 구입하기 위해서는 누구의 승인을 받아야 하나요?,팀장의 승인을 받아야 합니다.,expense_management_guide
IT 지원 가이드에 따른 지원 대상은 누구인가요?,"본 가이드는 정규직, 계약직, 인턴을 포함한 모든 사내 직원에게 적용됩니다.",it_support_guide
IT 지원팀의 일반 근무 시간과 긴급 상황 시 연락처는 어떻게 되나요?,"일반 근무 시간은 월요일부터 금요일, 오전 9시부터 오후 6시까지이며, 서버 다운이나 데이터 손실 등 긴급 상황 시에는 24시간 응급 지원 전화번호인 02-1234-5679로 연락할 수 있습니다.",it_support_guide
네트워크 지원 담당자의 이름과 연락처를 알려주세요.,"네트워크 지원 담당자는 김영수(IT 네트워크 관리자)이며, 이메일은 kimys@company.com, 전화번호는 02-1234-5680입니다.",it_support_guide
비밀번호 설정 규칙과 변경 주기는 어떻게 되나요?,"비밀번호는 최소 8자 이상으로 영문 대소문자, 숫자, 특수문자를 포함해야 하며, 3개월마다 변경해야 합니다. 또한 동일한 비밀번호는 재사용할 수 없습니다.",it_support_guide
"비밀번호를 몇 번 틀리면 계정이 잠기며, 해제 방법은 무엇인가요?",5회 이상 비밀번호 입력 오류 시 계정이 자동 잠금됩니다. 잠금 해제는 본인 확인 후 IT 지원팀에서 처리합니다.,it_support_guide
외부에서 사내 네트워크에 접속하려면 어떻게 해야 하나요?,"외부 접속 시에는 VPN 사용이 필수이며, VPN 계정은 IT 지원팀을 통해 신청할 수 있습니다.",it_support_guide
개인적으로 필요한 소프트웨어를 임의로 설치해도 되나요?,"아니요, 모든 소프트웨어 설치는 IT 지원팀의 승인 후 가능하며 불법 소프트웨어 설치는 금지됩니다. 업무 관련 소프트웨어는 IT 지원팀을 통해 요청해야 합니다.",it_support_guide
회사 노트북을 분실하거나 파손했을 경우 절차는 어떻게 되나요?,장비 분실 또는 파손 발생 시 즉시 IT 지원팀에 보고해야 합니다.,it_support_guide
퇴사할 때 회사 장비는 어떻게 처리해야 하나요?,"퇴사 시 모든 회사 장비는 IT 지원팀에 반납해야 하며, 반납 후 데이터 초기화 확인 절차를 거칩니다.",it_support_guide
IT 지원을 요청하는 방법과 요청 시 포함해야 할 내용은 무엇인가요?,"이메일(it_support@company.com), 전화(02-1234-5678), 또는 사내 IT 지원 시스템을 통해 요청할 수 있습니다. 요청 시에는 문제 발생 시점, 발생 위치(장비, 소프트웨어 등), 오류 메시지(스크린샷 포함 권장)를 포함해야 합니다.",it_support_guide
법률 및 준수 정책에 따르면 회사가 수집하는 최소한의 개인정보 항목은 무엇인가요?,"회사는 이름, 연락처, 이메일, 직책, 근무 기록 등을 수집합니다.",legal_and_compliance_policy
개인정보를 외부로 전송할 때 준수해야 하는 보안 방식은 무엇인가요?,개인정보를 외부로 전송할 때는 암호화된 통신 방식을 사용해야 합니다.,legal_and_compliance_policy
법률 및 준수 정책에서 정의하는 기밀 정보에는 어떤 것들이 포함되나요?,"기밀 정보에는 회사의 영업 비밀, 내부 자료, 고객 정보, 연구 자료, 기술 문서 등이 포함됩니다.",legal_and_compliance_policy
퇴사한 직원도 기밀 유지 의무가 있나요?,"네, 모든 직원은 근무 중뿐만 아니라 퇴사 후에도 기밀 정보를 외부에 유출할 수 없는 의무가 있습니다.",legal_and_compliance_policy
초과 근무나 휴일 근무 시 보상은 어떻게 이루어지나요?,"초과 근무 시에는 시간 외 수당을 지급하며, 휴일 근무에 대해서는 별도 수당을 적용합니다.",legal_and_compliance_policy
직장 내 성희롱 예방 교육은 얼마나 자주 실시해야 하나요?,회사는 매년 성희롱 예방 교육을 실시해야 합니다.,legal_and_compliance_policy
법률 및 준수 정책에 명시된 징계의 종류는 무엇인가요?,"징계의 종류에는 경고, 감봉, 정직, 해고가 있습니다.",legal_and_compliance_policy
징계 절차에서 대상자의 권리는 무엇인가요?,징계 대상자는 위반 행위에 대해 소명할 수 있는 기회를 가집니다.,legal_and_compliance_policy
직원이 법적 의무나 권리에 대해 상담하고 싶을 때 어느 부서에 문의해야 하나요?,인사팀 또는 법무팀에 상담할 수 있습니다.,legal_and_compliance_policy
법률 및 준수 정책 규정이 변경될 경우 어떻게 공지되나요?,"사내 인트라넷을 통해 공지하며, 변경 내용을 명확히 안내합니다.",legal_and_compliance_policy
